component	entry	source	function	rust_path	rust_symbol	documentation	evidence
xdb_amer	0x001dd8	amer/func_001dd8_camera_matrix_update.c	xdb_amer_camera_matrix_update	crates/commander-blood-game/src/native/alien/camera.rs	AlienCameraTransform::update	Shared angle normalization, fixed-point target matrix, easing, depth integration, and transformed view publication	re/tools/oracle_vectors/xdb_amer_func_1dd8_natural.json:6
xdb_croolis	0x001e1d	croolis/func_001e1d_camera_matrix_update.c	xdb_croolis_camera_matrix_update	crates/commander-blood-game/src/native/alien/camera.rs	AlienCameraTransform::update	Shared angle normalization, fixed-point target matrix, easing, depth integration, and transformed view publication	re/tools/oracle_vectors/xdb_croolis_func_1e1d_natural.json:6
xdb_scrut	0x001edd	scrut/func_001edd_camera_matrix_update.c	xdb_scrut_camera_matrix_update	crates/commander-blood-game/src/native/alien/camera.rs	AlienCameraTransform::update	Shared angle normalization, fixed-point target matrix, easing, depth integration, and transformed view publication	re/tools/oracle_vectors/xdb_scrut_func_1edd_natural.json:6
xdb_amer	0x002027	amer/func_002027_transform_and_project.c	xdb_amer_transform_and_project	crates/commander-blood-game/src/native/alien/projection.rs	AlienModelPose::transform_and_project	Flat typed hierarchy composition, radial movement, vertex projection, clipping, and UV-alias projection copies	re/tools/oracle_vectors/xdb_amer_func_2027_natural.json:8
xdb_croolis	0x00206c	croolis/func_00206c_transform_and_project.c	xdb_croolis_transform_and_project	crates/commander-blood-game/src/native/alien/projection.rs	AlienModelPose::transform_and_project	Flat typed hierarchy composition, radial movement, vertex projection, clipping, and UV-alias projection copies	re/tools/oracle_vectors/xdb_croolis_func_206c_natural.json:8
xdb_scrut	0x00212c	scrut/func_00212c_transform_and_project.c	xdb_scrut_transform_and_project	crates/commander-blood-game/src/native/alien/projection.rs	AlienModelPose::transform_and_project	Flat typed hierarchy composition, radial movement, vertex projection, clipping, and UV-alias projection copies	re/tools/oracle_vectors/xdb_scrut_func_212c_natural.json:8
xdb_amer	0x0024cf	amer/func_0024cf_bucket_faces_then_render.c	xdb_amer_bucket_faces_then_render	crates/commander-blood-game/src/native/alien/faces.rs	select_faces	Flat face rejection, cyclic leftmost ordering, width checks, LIFO screen-column buckets, and AMER camera-plane signal	re/tools/oracle_vectors/xdb_amer_func_24cf_natural.json:10
xdb_croolis	0x002514	croolis/func_002514_bucket_faces_then_render.c	xdb_croolis_bucket_faces_then_render	crates/commander-blood-game/src/native/alien/faces.rs	select_faces	Flat face rejection, cyclic leftmost ordering, width checks, LIFO screen-column buckets, and typed model selection	re/tools/oracle_vectors/xdb_croolis_func_2514_natural.json:10
xdb_scrut	0x0025d4	scrut/func_0025d4_bucket_faces_then_render.c	xdb_scrut_bucket_faces_then_render	crates/commander-blood-game/src/native/alien/faces.rs	select_faces	Flat face rejection, cyclic leftmost ordering, width checks, LIFO screen-column buckets, and typed model selection	re/tools/oracle_vectors/xdb_scrut_func_25d4_natural.json:10
xdb_amer	0x002b6d	amer/func_002b6d_face_activate.c	xdb_amer_face_activate	crates/commander-blood-game/src/native/alien/raster.rs	face_is_active	Raster-capacity, fixed-point orientation, vertical-edge, backface, width-limit, and degenerate decisions before wgpu submission	re/tools/oracle_vectors/xdb_amer_func_2b6d_natural.json:13
xdb_croolis	0x002bdd	croolis/func_002bdd_face_activate.c	xdb_croolis_face_activate	crates/commander-blood-game/src/native/alien/raster.rs	face_is_active	Raster-capacity, fixed-point orientation, vertical-edge, backface, width-limit, and degenerate decisions before wgpu submission	re/tools/oracle_vectors/xdb_croolis_func_2bdd_natural.json:13
xdb_scrut	0x002c9d	scrut/func_002c9d_face_activate.c	xdb_scrut_face_activate	crates/commander-blood-game/src/native/alien/raster.rs	face_is_active	Raster-capacity, fixed-point orientation, vertical-edge, backface, width-limit, and degenerate decisions before wgpu submission	re/tools/oracle_vectors/xdb_scrut_func_2c9d_natural.json:13
xdb_amer	0x000958	amer/func_000958_method_slot_6_wrap_positions.c	xdb_amer_method_slot_6_wrap_positions	crates/commander-blood-game/src/native/alien/behavior.rs	wrap_positions	Signed 15-bit camera-relative wrapping of every typed node-local position	re/tools/oracle_vectors/xdb_amer_func_0958_natural.json:7
xdb_croolis	0x000999	croolis/func_000999_method_slot_6_wrap_positions.c	xdb_croolis_method_slot_6_wrap_positions	crates/commander-blood-game/src/native/alien/behavior.rs	wrap_positions	Signed 15-bit camera-relative wrapping of every typed node-local position	re/tools/oracle_vectors/xdb_croolis_func_0999_natural.json:7
xdb_scrut	0x000999	scrut/func_000999_method_slot_6_wrap_positions.c	xdb_scrut_method_slot_6_wrap_positions	crates/commander-blood-game/src/native/alien/behavior.rs	wrap_positions	Signed 15-bit camera-relative wrapping of every typed node-local position	re/tools/oracle_vectors/xdb_scrut_func_0999_natural.json:7
xdb_amer	0x000925	amer/func_000925_method_slot_10_bounds_then_wrap.c	xdb_amer_method_slot_10_bounds_then_wrap	crates/commander-blood-game/src/native/alien/behavior.rs	bounds_then_wrap	Bounds-angle update, prior transformed-position gate, persistent exit request, and typed position wrapping	re/tools/oracle_vectors/xdb_amer_func_0925_natural.json:9
xdb_croolis	0x000966	croolis/func_000966_method_slot_10_bounds_then_wrap.c	xdb_croolis_method_slot_10_bounds_then_wrap	crates/commander-blood-game/src/native/alien/behavior.rs	bounds_then_wrap	Bounds-angle update, prior transformed-position gate, persistent exit request, and typed position wrapping	re/tools/oracle_vectors/xdb_croolis_func_0966_natural.json:9
xdb_scrut	0x000966	scrut/func_000966_method_slot_10_bounds_then_wrap.c	xdb_scrut_method_slot_10_bounds_then_wrap	crates/commander-blood-game/src/native/alien/behavior.rs	bounds_then_wrap	Bounds-angle update, prior transformed-position gate, persistent exit request, and typed position wrapping	re/tools/oracle_vectors/xdb_scrut_func_0966_natural.json:9
xdb_amer	0x000b0f	amer/func_000b0f_method_slot_11_anchor_state.c	xdb_amer_method_slot_11_anchor_state	crates/commander-blood-game/src/native/alien/behavior.rs	anchor_state	Wrapping first-node state-angle decrement and typed anchor selection	re/tools/oracle_vectors/xdb_amer_func_0b0f_natural.json:7
xdb_croolis	0x000b50	croolis/func_000b50_method_slot_11_anchor_state.c	xdb_croolis_method_slot_11_anchor_state	crates/commander-blood-game/src/native/alien/behavior.rs	anchor_state	Wrapping first-node state-angle decrement and typed anchor selection	re/tools/oracle_vectors/xdb_croolis_func_0b50_natural.json:7
xdb_scrut	0x000b55	scrut/func_000b55_method_slot_11_anchor_state.c	xdb_scrut_method_slot_11_anchor_state	crates/commander-blood-game/src/native/alien/behavior.rs	anchor_state	Wrapping first-node state-angle decrement and typed anchor selection	re/tools/oracle_vectors/xdb_scrut_func_0b55_natural.json:7
xdb_amer	0x000b1f	amer/func_000b1f_method_slot_12_apply_delta.c	xdb_amer_method_slot_12_apply_delta	crates/commander-blood-game/src/native/alien/behavior.rs	adjust_state	Signed half-delta gate and wrapping first-node state-angle adjustment	re/tools/oracle_vectors/xdb_amer_func_0b1f_natural.json:10
xdb_croolis	0x000b60	croolis/func_000b60_method_slot_12_apply_delta.c	xdb_croolis_method_slot_12_apply_delta	crates/commander-blood-game/src/native/alien/behavior.rs	adjust_state	Signed half-delta gate and wrapping first-node state-angle adjustment	re/tools/oracle_vectors/xdb_croolis_func_0b60_natural.json:10
xdb_scrut	0x000b65	scrut/func_000b65_method_slot_12_lower_state.c	xdb_scrut_method_slot_12_lower_state	crates/commander-blood-game/src/native/alien/behavior.rs	adjust_state	Wrapping first-node state-angle decrement under the SCRUT method policy	re/tools/oracle_vectors/xdb_scrut_func_0b65_natural.json:7
xdb_amer	0x001b5f	amer/func_001b5f_method_slot_8_apply_sample_delta.c	xdb_amer_method_slot_8_apply_sample_delta	crates/commander-blood-game/src/native/alien/behavior.rs	apply_sample_delta	Typed cosine-phase differencing and wrapping texture-U updates across authored vertices	re/tools/oracle_vectors/xdb_amer_func_1b5f_natural.json:7
xdb_croolis	0x001acb	croolis/func_001acb_method_slot_8_apply_sample_delta.c	xdb_croolis_method_slot_8_apply_sample_delta	crates/commander-blood-game/src/native/alien/behavior.rs	apply_sample_delta	Typed cosine-phase differencing and wrapping texture-U updates across authored vertices	re/tools/oracle_vectors/xdb_croolis_func_1acb_natural.json:7
xdb_scrut	0x001b80	scrut/func_001b80_method_slot_8_apply_sample_delta.c	xdb_scrut_method_slot_8_apply_sample_delta	crates/commander-blood-game/src/native/alien/behavior.rs	apply_sample_delta	Typed cosine-phase differencing and wrapping texture-U updates across authored vertices	re/tools/oracle_vectors/xdb_scrut_func_1b80_natural.json:7
xdb_amer	0x001b8f	amer/func_001b8f_method_slot_9_apply_scaled_sample_delta.c	xdb_amer_method_slot_9_apply_scaled_sample_delta	crates/commander-blood-game/src/native/alien/behavior.rs	apply_scaled_sample_delta	Arithmetic one-sixteenth cosine scaling, typed phase differencing, and wrapping texture-U updates	re/tools/oracle_vectors/xdb_amer_func_1b8f_natural.json:7
xdb_croolis	0x001afb	croolis/func_001afb_method_slot_9_apply_scaled_sample_delta.c	xdb_croolis_method_slot_9_apply_scaled_sample_delta	crates/commander-blood-game/src/native/alien/behavior.rs	apply_scaled_sample_delta	Arithmetic one-sixteenth cosine scaling, typed phase differencing, and wrapping texture-U updates	re/tools/oracle_vectors/xdb_croolis_func_1afb_natural.json:7
xdb_scrut	0x001bb0	scrut/func_001bb0_method_slot_9_apply_scaled_sample_delta.c	xdb_scrut_method_slot_9_apply_scaled_sample_delta	crates/commander-blood-game/src/native/alien/behavior.rs	apply_scaled_sample_delta	Arithmetic one-sixteenth cosine scaling, typed phase differencing, and wrapping texture-U updates	re/tools/oracle_vectors/xdb_scrut_func_1bb0_natural.json:7
xdb_amer	0x000355	amer/func_000355_method_slot_7_palette_update.c	xdb_amer_method_slot_7_palette_update	crates/commander-blood-game/src/native/alien/palette.rs	update_palette_animation	Typed model motion, phase cycling, and bounded authored texture-index remapping	re/tools/oracle_vectors/xdb_amer_func_0355_natural.json:8
xdb_croolis	0x00036a	croolis/func_00036a_method_slot_7_palette_update.c	xdb_croolis_method_slot_7_palette_update	crates/commander-blood-game/src/native/alien/palette.rs	update_palette_animation	Typed model motion, phase and pulse cycling, and bounded authored texture-index remapping	re/tools/oracle_vectors/xdb_croolis_func_036a_natural.json:8
xdb_scrut	0x00036a	scrut/func_00036a_method_slot_7_palette_update.c	xdb_scrut_method_slot_7_palette_update	crates/commander-blood-game/src/native/alien/palette.rs	update_palette_animation	Typed model motion, phase and pulse cycling, and bounded authored texture-index remapping	re/tools/oracle_vectors/xdb_scrut_func_036a_natural.json:8
xdb_amer	0x0009ef	amer/func_0009ef_method_slot_1_wave_update_or_init.c	xdb_amer_method_slot_1_wave_update_or_init	crates/commander-blood-game/src/native/alien/wave.rs	update_or_initialize_wave	Typed initialization, camera-relative selection, and two-stage cyclic object-position animation	re/tools/oracle_vectors/xdb_amer_func_09ef_natural.json:11
xdb_croolis	0x000a30	croolis/func_000a30_method_slot_1_wave_update_or_init.c	xdb_croolis_method_slot_1_wave_update_or_init	crates/commander-blood-game/src/native/alien/wave.rs	update_or_initialize_wave	Typed initialization, camera-relative selection, and two-stage cyclic object-position animation	re/tools/oracle_vectors/xdb_croolis_func_0a30_natural.json:11
xdb_scrut	0x000a35	scrut/func_000a35_method_slot_1_wave_update_or_init.c	xdb_scrut_method_slot_1_wave_update_or_init	crates/commander-blood-game/src/native/alien/wave.rs	update_or_initialize_wave	Typed initialization with selected-model publication, camera-relative selection, and two-stage cyclic object-position animation	re/tools/oracle_vectors/xdb_scrut_func_0a35_natural.json:11
xdb_amer	0x001286	amer/func_001286_method_slot_3_update_or_init.c	xdb_amer_method_slot_3_update_or_init	crates/commander-blood-game/src/native/alien/ring.rs	update_or_initialize_ring	Flat circular motion history, typed callback selection, generation policy, timer update, and ordered indirect dispatch	re/tools/oracle_vectors/xdb_amer_func_1286_natural.json:9
xdb_croolis	0x0012de	croolis/func_0012de_method_slot_3_update_or_init.c	xdb_croolis_method_slot_3_update_or_init	crates/commander-blood-game/src/native/alien/ring.rs	update_or_initialize_ring	Flat circular motion history, typed callback selection, generation policy, timer update, and ordered indirect dispatch	re/tools/oracle_vectors/xdb_croolis_func_12de_natural.json:9
xdb_scrut	0x0012cc	scrut/func_0012cc_method_slot_3_update_or_init.c	xdb_scrut_method_slot_3_update_or_init	crates/commander-blood-game/src/native/alien/ring.rs	update_or_initialize_ring	Flat circular motion history, typed callback selection, generation policy, timer update, and ordered indirect dispatch	re/tools/oracle_vectors/xdb_scrut_func_12cc_natural.json:9
xdb_amer	0x001558	amer/func_001558_slot3_restart_initial_update.c	xdb_amer_slot3_restart_initial_update	crates/commander-blood-game/src/native/alien/ring.rs	restart_initial_course	Typed course restart, ring command reset, motion publication, and exact deterministic random transition	re/tools/oracle_vectors/xdb_amer_func_1558_natural.json:4
xdb_amer	0x00158a	amer/func_00158a_slot3_resume_callback.c	xdb_amer_slot3_resume_callback	crates/commander-blood-game/src/native/alien/ring.rs	begin_resume_clear	Typed position and motion reset, clear-history callback transition, and ring command publication	re/tools/oracle_vectors/xdb_amer_func_158a_natural.json:3
xdb_amer	0x0015db	amer/func_0015db_slot3_capture_resume_state.c	xdb_amer_slot3_capture_resume_state	crates/commander-blood-game/src/native/alien/ring.rs	capture_resume_state	Typed resume countdown and selected-node publication with species-specific transform reset	re/tools/oracle_vectors/xdb_amer_func_15db_natural.json:3
xdb_amer	0x001614	amer/func_001614_slot3_ring_zero_callback.c	xdb_amer_slot3_ring_zero_callback	crates/commander-blood-game/src/native/alien/ring.rs	clear_next_ring_entry	Timer-gated ring-slot advance and complete motion-history entry reset	re/tools/oracle_vectors/xdb_amer_func_1614_natural.json:4
xdb_croolis	0x0015b0	croolis/func_0015b0_slot3_restart_initial_update.c	xdb_croolis_slot3_restart_initial_update	crates/commander-blood-game/src/native/alien/ring.rs	restart_initial_course	Typed course restart, ring command reset, motion publication, and exact deterministic random transition	re/tools/oracle_vectors/xdb_croolis_func_15b0_natural.json:4
xdb_croolis	0x0015e2	croolis/func_0015e2_slot3_resume_callback.c	xdb_croolis_slot3_resume_callback	crates/commander-blood-game/src/native/alien/ring.rs	begin_resume_clear	Typed position and motion reset, clear-history callback transition, and ring command publication	re/tools/oracle_vectors/xdb_croolis_func_15e2_natural.json:3
xdb_croolis	0x001633	croolis/func_001633_slot3_capture_resume_state.c	xdb_croolis_slot3_capture_resume_state	crates/commander-blood-game/src/native/alien/ring.rs	capture_resume_state	Typed resume countdown and selected-node publication with species-specific transform reset	re/tools/oracle_vectors/xdb_croolis_func_1633_natural.json:3
xdb_croolis	0x00166c	croolis/func_00166c_slot3_ring_zero_callback.c	xdb_croolis_slot3_ring_zero_callback	crates/commander-blood-game/src/native/alien/ring.rs	clear_next_ring_entry	Timer-gated ring-slot advance and complete motion-history entry reset	re/tools/oracle_vectors/xdb_croolis_func_166c_natural.json:4
xdb_scrut	0x00159e	scrut/func_00159e_slot3_restart_initial_update.c	xdb_scrut_slot3_restart_initial_update	crates/commander-blood-game/src/native/alien/ring.rs	restart_initial_course	Typed course restart, ring command reset, motion publication, and exact deterministic random transition	re/tools/oracle_vectors/xdb_scrut_func_159e_natural.json:4
xdb_scrut	0x0015d0	scrut/func_0015d0_slot3_resume_callback.c	xdb_scrut_slot3_resume_callback	crates/commander-blood-game/src/native/alien/ring.rs	begin_resume_clear	Typed position and motion reset, clear-history callback transition, and ring command publication	re/tools/oracle_vectors/xdb_scrut_func_15d0_natural.json:3
xdb_scrut	0x001621	scrut/func_001621_slot3_capture_resume_state.c	xdb_scrut_slot3_capture_resume_state	crates/commander-blood-game/src/native/alien/ring.rs	capture_resume_state	Typed resume countdown and selected-node publication with species-specific transform reset	re/tools/oracle_vectors/xdb_scrut_func_1621_natural.json:3
xdb_scrut	0x00165a	scrut/func_00165a_slot3_ring_zero_callback.c	xdb_scrut_slot3_ring_zero_callback	crates/commander-blood-game/src/native/alien/ring.rs	clear_next_ring_entry	Timer-gated ring-slot advance and complete motion-history entry reset	re/tools/oracle_vectors/xdb_scrut_func_165a_natural.json:4
xdb_amer	0x001bea	amer/func_001bea_method_slot_13_resume_or_init.c	xdb_amer_method_slot_13_resume_or_init	crates/commander-blood-game/src/native/alien/resume.rs	initialize_or_dispatch_resume	Typed resume callback initialization or indirect dispatch with empty pairing-state publication	re/tools/oracle_vectors/xdb_amer_func_1bea_natural.json:6
xdb_croolis	0x001b46	croolis/func_001b46_method_slot_13_resume_or_init.c	xdb_croolis_method_slot_13_resume_or_init	crates/commander-blood-game/src/native/alien/resume.rs	initialize_or_dispatch_resume	Typed resume callback initialization or indirect dispatch with empty pairing-state publication	re/tools/oracle_vectors/xdb_croolis_func_1b46_natural.json:6
xdb_scrut	0x001bfb	scrut/func_001bfb_method_slot_13_resume_or_init.c	xdb_scrut_method_slot_13_resume_or_init	crates/commander-blood-game/src/native/alien/resume.rs	initialize_or_dispatch_resume	Typed resume callback initialization or indirect dispatch with empty pairing-state publication	re/tools/oracle_vectors/xdb_scrut_func_1bfb_natural.json:6
xdb_amer	0x0012b3	amer/func_0012b3_slot3_initial_update.c	xdb_amer_slot3_initial_update	crates/commander-blood-game/src/native/alien/ring.rs	update_initial_course	Typed timer-gated motion application, deterministic course generation, and species-specific bounds correction	re/tools/oracle_vectors/xdb_amer_func_12b3_natural.json:13
xdb_croolis	0x00130b	croolis/func_0013a0_slot3_initial_update.c	xdb_croolis_slot3_initial_update	crates/commander-blood-game/src/native/alien/ring.rs	update_initial_course	Typed timer-gated motion application, deterministic course generation, and species-specific bounds correction	re/tools/oracle_vectors/xdb_croolis_func_130b_natural.json:13
xdb_scrut	0x0012f9	scrut/func_0012f2_slot3_initial_update.c	xdb_scrut_slot3_initial_update	crates/commander-blood-game/src/native/alien/ring.rs	update_initial_course	Typed timer-gated motion application, deterministic course generation, and species-specific bounds correction	re/tools/oracle_vectors/xdb_scrut_func_12f9_natural.json:13
xdb_amer	0x001414	amer/func_001414_slot3_update.c	xdb_amer_slot3_update	crates/commander-blood-game/src/native/alien/ring.rs	update_follow_course	Flat typed follower motion, ring commands, transition queue, packed texture adjustment, bounds feedback, and explicit callback continuation	re/tools/oracle_vectors/xdb_amer_func_1414_natural.json:16
xdb_croolis	0x00146c	croolis/func_00146c_slot3_update.c	xdb_croolis_slot3_update	crates/commander-blood-game/src/native/alien/ring.rs	update_follow_course	Flat typed follower motion, ring commands, transition queue, packed texture adjustment, bounds feedback, and explicit callback continuation	re/tools/oracle_vectors/xdb_croolis_func_146c_natural.json:16
xdb_scrut	0x00145a	scrut/func_00145a_slot3_update.c	xdb_scrut_slot3_update	crates/commander-blood-game/src/native/alien/ring.rs	update_follow_course	Flat typed follower motion, ring commands, transition queue, packed texture adjustment, bounds feedback, and explicit callback continuation	re/tools/oracle_vectors/xdb_scrut_func_145a_natural.json:16
xdb_amer	0x000bea	amer/func_000bea_slot1_state_update.c	xdb_amer_slot1_state_update	crates/commander-blood-game/src/native/alien/selection.rs	update_wave_selection	Typed bounds, cross-model wave-anchor transition, palette pulses, callback lifecycle, and explicit motion/camera continuations	re/tools/oracle_vectors/xdb_amer_func_0bea_natural.json:9
xdb_croolis	0x000c3e	croolis/func_000c3e_slot1_state_update.c	xdb_croolis_slot1_state_update	crates/commander-blood-game/src/native/alien/selection.rs	update_wave_selection	Typed bounds, cross-model wave-anchor transition, palette pulses, callback lifecycle, and explicit motion/camera continuations	re/tools/oracle_vectors/xdb_croolis_func_0c3e_natural.json:9
xdb_scrut	0x000c32	scrut/func_000c32_slot1_state_update.c	xdb_scrut_slot1_state_update	crates/commander-blood-game/src/native/alien/selection.rs	update_wave_selection	Typed bounds, cross-model wave-anchor transition, palette pulses, callback lifecycle, and explicit motion/camera continuations	re/tools/oracle_vectors/xdb_scrut_func_0c32_natural.json:9
xdb_amer	0x000b37	amer/func_000b37_slot1_wave_update.c	xdb_amer_slot1_wave_update	crates/commander-blood-game/src/native/alien/selection.rs	update_wave_callback	Typed wave motion, selected scene-node parent, method-delta clamp, pulse rollback, and explicit finish/camera continuations	re/tools/oracle_vectors/xdb_amer_func_0b37_natural.json:4
xdb_croolis	0x000b78	croolis/func_000b78_slot1_wave_update.c	xdb_croolis_slot1_wave_update	crates/commander-blood-game/src/native/alien/selection.rs	update_wave_callback	Typed wave motion, selected scene-node parent, method-delta clamp, pulse rollback, and explicit finish/camera continuations	re/tools/oracle_vectors/xdb_croolis_func_0b78_natural.json:4
xdb_scrut	0x000b78	scrut/func_000b78_slot1_wave_update.c	xdb_scrut_slot1_wave_update	crates/commander-blood-game/src/native/alien/selection.rs	update_wave_callback	Typed wave motion, selected scene-node parent, method-delta clamp, pulse rollback, and explicit finish/camera continuations	re/tools/oracle_vectors/xdb_scrut_func_0b78_natural.json:4
xdb_amer	0x000bd0	amer/func_000bd0_slot1_finish_update.c	xdb_amer_slot1_finish_update	crates/commander-blood-game/src/native/alien/selection.rs	update_wave_finish	Flat pose update with wrapped sample subtraction, preserved position high word, and wrapped angle advances	re/tools/oracle_vectors/xdb_amer_func_0bd0_natural.json:4
xdb_croolis	0x000c24	croolis/func_000c24_slot1_finish_update.c	xdb_croolis_slot1_finish_update	crates/commander-blood-game/src/native/alien/selection.rs	update_wave_finish	Flat pose update with wrapped sample subtraction, preserved position high word, and wrapped angle advances	re/tools/oracle_vectors/xdb_croolis_func_0c24_natural.json:4
xdb_scrut	0x000c18	scrut/func_000c18_slot1_finish_update.c	xdb_scrut_slot1_finish_update	crates/commander-blood-game/src/native/alien/selection.rs	update_wave_finish	Flat pose update with wrapped sample subtraction, preserved position high word, and wrapped angle advances	re/tools/oracle_vectors/xdb_scrut_func_0c18_natural.json:4
xdb_amer	0x000c5d	amer/func_000c5d_slot1_camera_update.c	xdb_amer_slot1_camera_update	crates/commander-blood-game/src/native/alien/selection.rs	update_wave_camera	Typed per-frame camera pan and roll steps with callback-enum transition and no executable addresses	re/tools/oracle_vectors/xdb_amer_func_0c5d_natural.json:5
xdb_croolis	0x000cb5	croolis/func_000cb5_slot1_camera_update.c	xdb_croolis_slot1_camera_update	crates/commander-blood-game/src/native/alien/selection.rs	update_wave_camera	Typed per-frame camera pan and roll steps with callback-enum transition and no executable addresses	re/tools/oracle_vectors/xdb_croolis_func_0cb5_natural.json:5
xdb_scrut	0x000ca3	scrut/func_000ca3_slot1_camera_update.c	xdb_scrut_slot1_camera_update	crates/commander-blood-game/src/native/alien/selection.rs	update_wave_camera	Typed per-frame camera pan and roll steps with callback-enum transition and no executable addresses	re/tools/oracle_vectors/xdb_scrut_func_0ca3_natural.json:5
xdb_amer	0x000c81	amer/func_000c81_slot1_motion_update.c	xdb_amer_slot1_motion_update	crates/commander-blood-game/src/native/alien/selection.rs	update_wave_motion	Flat per-frame pan and roll integration with signed phase routing and typed delayed-return transition	re/tools/oracle_vectors/xdb_amer_func_0c81_natural.json:7
xdb_croolis	0x000cd9	croolis/func_000cd9_slot1_motion_update.c	xdb_croolis_slot1_motion_update	crates/commander-blood-game/src/native/alien/selection.rs	update_wave_motion	Flat per-frame pan and roll integration with signed phase routing and typed delayed-return transition	re/tools/oracle_vectors/xdb_croolis_func_0cd9_natural.json:7
xdb_scrut	0x000cc7	scrut/func_000cc7_slot1_motion_update.c	xdb_scrut_slot1_motion_update	crates/commander-blood-game/src/native/alien/selection.rs	update_wave_motion	Flat per-frame pan and roll integration with signed phase routing and typed delayed-return transition	re/tools/oracle_vectors/xdb_scrut_func_0cc7_natural.json:7
xdb_amer	0x000ca1	amer/func_000ca1_slot1_return_update.c	xdb_amer_slot1_return_update	crates/commander-blood-game/src/native/alien/selection.rs	update_wave_return	Wrapping delayed-return countdown with typed wave-selection transition	re/tools/oracle_vectors/xdb_amer_func_0ca1_natural.json:4
xdb_croolis	0x000cf9	croolis/func_000cf9_slot1_return_update.c	xdb_croolis_slot1_return_update	crates/commander-blood-game/src/native/alien/selection.rs	update_wave_return	Wrapping delayed-return countdown with typed wave-selection transition	re/tools/oracle_vectors/xdb_croolis_func_0cf9_natural.json:4
xdb_scrut	0x000ce7	scrut/func_000ce7_slot1_return_update.c	xdb_scrut_slot1_return_update	crates/commander-blood-game/src/native/alien/selection.rs	update_wave_return	Wrapping delayed-return countdown with typed wave-selection transition	re/tools/oracle_vectors/xdb_scrut_func_0ce7_natural.json:4
